id,customer_id,vehicle_id,sale_date,sale_price,payment_method
1,342,29,4/7/2023,46426.33,Cash
2,2135,16,7/26/2023,56958.21,Credit Card
3,9,39,5/27/2023,87523.75,Credit Card
4,1264,6,4/2/2023,36394.35,Credit Card
5,884,30,7/3/2023,98428.4,Credit Card
6,2361,28,12/4/2023,57531.34,Credit Card
7,108,1,1/22/2024,33119.86,Cash
8,1437,24,4/11/2023,96690.22,Credit Card
9,1837,18,11/18/2023,52101.52,Online Transfer
10,776,17,8/2/2023,77131.86,Online Transfer
11,589,2,3/16/2024,58499.76,Online Transfer
12,400,27,1/8/2024,71611.12,Credit Card
13,2226,14,8/12/2023,55952.53,Online Transfer
14,2196,35,8/9/2023,50913.99,Credit Card
15,1153,10,12/15/2023,53452.12,Cash
16,2376,38,4/21/2023,95354.96,Online Transfer
17,277,22,5/3/2023,55794.82,Online Transfer
18,544,37,5/7/2023,81085.33,Online Transfer
19,547,5,9/2/2023,88868.95,Cash
20,2074,12,11/27/2023,72035.27,Online Transfer
21,2006,34,4/29/2023,61857.31,Online Transfer
22,1154,15,6/4/2023,92035.5,Cash
23,1851,9,4/19/2023,71463.72,Credit Card
24,536,23,4/9/2023,57433.79,Online Transfer
25,1661,32,11/16/2023,36146.29,Credit Card
26,1219,8,1/22/2024,69152.02,Cash
27,2143,33,3/29/2023,92392.68,Credit Card
28,1594,40,4/26/2023,32032.0,Cash
29,2463,3,5/23/2023,80761.16,Online Transfer
30,1163,25,4/28/2023,53563.2,Credit Card
31,572,4,3/15/2024,85980.94,Online Transfer
32,2050,31,3/24/2023,87258.13,Credit Card
33,363,19,3/13/2024,40981.18,Credit Card
34,710,11,1/5/2024,51513.48,Credit Card
35,962,13,3/1/2024,93474.7,Credit Card
36,1548,26,9/30/2023,43770.77,Online Transfer
37,1019,21,8/18/2023,30972.95,Credit Card
38,1953,7,1/2/2024,62644.65,Credit Card
39,574,36,1/12/2024,51030.5,Cash
40,1602,20,3/12/2024,91635.69,Online Transfer
